# source=zerodha  dumped_at_utc=2026-05-18T19:11:38.418444+00:00  holdings_count=12
tradingsymbol,name,isin,exchange,quantity,average_price,last_price,invested,current_value,pnl,pnl_pct
ANANTRAJ,ANANT RAJ,INE242C01024,NSE,7.0,505.25,476.25,3536.75,3333.75,-203.0,-5.74
CYIENTDLM,CYIENT DLM,INE055S01018,NSE,12.0,390.3,416.75,4683.6,5001.0,317.4,6.78
ETERNAL,ETERNAL - ZOMATO,INE758T01015,NSE,10.0,231.46,241.4,2314.6,2414.0,99.4,4.29
HDFCBANK,HDFC BANK,INE040A01034,BSE,48.0,801.01375,768.55,38448.66,36890.4,-1558.26,-4.05
INDHOTEL,INDIAN HOTELS CO.LTD.,INE053A01029,NSE,2.0,628.525,648.55,1257.05,1297.1,40.05,3.19
KPIGREEN,KPI GREEN ENERGY,INE542W01025,BSE,10.0,381.0,420.7,3810.0,4207.0,397.0,10.42
KPITTECH,KPIT TECHNOLOGIES,INE04I401011,BSE,6.0,635.0,708.05,3810.0,4248.3,438.3,11.5
NEOGEN,NEOGEN CHEMICALS,INE136S01016,BSE,3.0,1368.3,1681.1,4104.9,5043.3,938.4,22.86
PARAS,PARAS DEFENCE AND SPACE TECHNO,INE045601023,BSE,3.0,638.25,745.1,1914.75,2235.3,320.55,16.74
PREMIERENE,PREMIER ENERGIES,INE0BS701011,NSE,3.0,999.55,986.9,2998.65,2960.7,-37.95,-1.27
SONACOMS,SONA BLW PRECISION FORGINGS LI,INE073K01018,BSE,10.0,491.5,567.85,4915.0,5678.5,763.5,15.53
VIKRAMSOLR,VIKRAM SOLAR,INE078V01014,NSE,20.0,199.5712,201.09,3991.42,4021.8,30.38,0.76
